Date,Time,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15
YYYY/MM/DD,hh:mm:ss,,,,,,,,,,,,,,,
DATE,TIME,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15
2024/09/24,09:00:00,12.692,30.45,10.314,2.377,29.2,3.34,19.108,,,,,,,,
2024/09/24,09:15:00,12.692,30.45,10.317,2.375,30.8,3.34,19.113,,,,,,,,
2024/09/24,09:30:00,12.692,30.45,10.316,2.375,32.3,3.34,19.114,,,,,,,,
2024/09/24,09:45:00,12.692,30.45,10.314,2.377,33.5,3.34,19.109,,,,,,,,
2024/09/24,10:00:00,12.692,30.45,10.313,2.3789999999999996,34.6,3.34,19.113000000000003,,,,,,,,
2024/09/24,10:15:00,12.69,30.4,10.311,2.3789999999999996,35.300000000000004,3.3499999999999996,19.115000000000002,,,,,,,,
2024/09/24,10:30:00,12.689,30.45,10.31,2.3779999999999997,35.900000000000006,3.3599999999999994,19.116000000000003,,,,,,,,
2024/09/24,10:45:00,12.687,30.45,10.307,2.3799999999999994,36.10000000000001,3.3399999999999994,19.098000000000003,,,,,,,,
2024/09/24,11:00:00,12.684999999999999,30.45,10.305,2.3799999999999994,36.30000000000001,3.3599999999999994,19.119000000000003,,,,,,,,
2024/09/24,11:15:00,12.684,30.45,10.301,2.3819999999999992,36.40000000000001,3.3599999999999994,19.121000000000002,,,,,,,,
2024/09/24,11:30:00,12.684,30.45,10.301,2.382999999999999,36.500000000000014,3.3799999999999994,19.117,,,,,,,,
2024/09/24,11:45:00,12.68,30.45,,,,,,,,,,,,,
